"Time","Env"
4.04404404404404,3755.98192489415
4.08408408408408,3751.97650594018
4.12412412412412,3747.71768925726
4.16416416416416,3743.28524976507
4.2042042042042,3738.75896238323
4.24424424424424,3734.21860203142
4.28428428428428,3729.74394362928
4.32432432432432,3725.41476209646
4.36436436436436,3721.31083235262
4.4044044044044,3717.51192931741
4.44444444444444,3714.09782791047
4.48448448448448,3711.14830305147
4.52452452452452,3708.74312966004
4.56456456456456,3706.96208265586
4.6046046046046,3705.88493695856
4.64464464464464,3705.5914674878
4.68468468468468,3706.16144916323
4.72472472472472,3707.6746569045
4.76476476476476,3710.21086563127
4.8048048048048,3713.84985026318
4.84484484484484,3718.6713857199
4.88488488488488,3724.75524692106
4.92492492492492,3732.18120878633
4.96496496496496,3741.02904623535
5.00500500500501,3751.37845831099
5.04504504504505,3763.25413337956
5.08508508508509,3776.52877858661
5.12512512512513,3791.04907533689
5.16516516516517,3806.66170503518
5.20520520520521,3823.21334908624
5.24524524524525,3840.55068889485
5.28528528528529,3858.52040586577
5.32532532532533,3876.96918140378
5.36536536536537,3895.74369691363
5.40540540540541,3914.69063380011
5.44544544544545,3933.65667346799
5.48548548548549,3952.48849732202
5.52552552552553,3971.03278676698
5.56556556556557,3989.13622320764
5.60560560560561,4006.64548804876
5.64564564564565,4023.40726269513
5.68568568568569,4039.2682285515
5.72572572572573,4054.07506702265
5.76576576576577,4067.67445951334
5.80580580580581,4079.91308742834
5.84584584584585,4090.63763217243
5.88588588588589,4099.69477515038
5.92592592592593,4106.93119776694
5.96596596596597,4112.1935814269
6.00600600600601,4115.32876422191
6.04604604604605,4116.2535652561
6.08608608608609,4115.0647092117
6.12612612612613,4111.88743198367
6.16616616616617,4106.84696946696
6.20620620620621,4100.06855755652
6.24624624624625,4091.67743214732
6.28628628628629,4081.7988291343
6.32632632632633,4070.55798441241
6.36636636636637,4058.08013387662
6.40640640640641,4044.49051342188
6.44644644644645,4029.91435894315
6.48648648648649,4014.47690633537
6.52652652652653,3998.3033914935
6.56656656656657,3981.51905031249
6.60660660660661,3964.24911868731
6.64664664664665,3946.6188325129
6.68668668668669,3928.75342768423
6.72672672672673,3910.77814009623
6.76676676676677,3892.81820564388
6.80680680680681,3874.99886022212
6.84684684684685,3857.4453397259
6.88688688688689,3840.28288005019
6.92692692692693,3823.63671708994
6.96696696696697,3807.63208674009
7.00700700700701,3792.39407258687
7.04704704704705,3778.00226497055
7.08708708708709,3764.42734282074
7.12712712712713,3751.62402728451
7.16716716716717,3739.54703950895
7.20720720720721,3728.1511006411
7.24724724724725,3717.39093182806
7.28728728728729,3707.22125421689
