model.name,totaltips,dispersal,amp,freq,niche.ev.rate,breath.ev.rate,phylo.sig,Me,geo.mode,slope,enviro.mode,enviro.hetero,RO0,RO50,RO75,RO90,RO100,ROmean,asymmean,bimod100,bimod90,bimod75,bimod50,ROkurt,ROskew,TOmean,TOsd,RSskew,RSmean,RSsd,RDmean,RDsd,ROslope,ROintercept,asymslope,asymintercept,RDslope,RDintercept,Beta,CI,SI,gamma,ARCint,ARCslope
run_5815_VM_shortertimestep_6,140,2,1.928512,0.2711767,0.4402456,0.2769906,0.3224341,112.867,dispersal,0.05764745,sine,1,0.156862745,0.607843137,0.450980392,0.294117647,0.156862745,0.566395567,0.227660227,0.098423683,0.184544406,0.282968089,0.381391772,1.528353774,-0.372394213,-0.127445652,0.348277655,0.125791157,0.448942427,0.323737162,0.011862024,0.04935391,-0.089059184,0.57425572,-0.014333902,0.228925303,0.239613369,-0.009285683,-0.009999753,573,1315,-0.011410888,0.62194881,0.012598065
run_5816_VM_shortertimestep_1,63,2,0.5522417,1.52044,1.828362,0.5802804,0.4947125,223.6617,parapatric,0.04723161,sine,0,0.35,0.55,0.55,0.4,0.35,0.542479557,0.14427069,0.49,0.56,0.77,0.77,1.161635082,-0.21391181,0,0.582893306,1.228424581,0.240681076,0.329436209,0.068508927,0.13928079,-1.424559335,0.626971577,0.750676665,0.099747316,1.145081183,0.000593032,-0.145818846,207,485,1.64342406,0.525933556,-0.201162557
run_5816_VM_shortertimestep_2,28,3,0.4374123,0.401735,0.06107627,0.4394504,0.6412516,112.4367,dispersal,0.01096298,linear,0,0.125,0.625,0.5,0.375,0,0.602701999,0.257251576,0,0.1875,0.25,0.3125,1.70418459,-0.373083671,-0.104705135,0.382336293,-0.239423862,0.525119124,0.31386601,0.001996388,0.005646638,4.642420464,0.171871312,1.117712372,0.153524481,-0.035405294,0.005282107,-0.255829846,77,171,0.166715637,0.569633612,0.200490284
run_5816_VM_shortertimestep_3,12,3,1.26819,0.5243087,0.7939645,0.9627376,0.5117195,64.72258,parapatric,0.0366204,sine,1,0.333333333,0.666666667,0.333333333,0.333333333,0,0.573223949,0.075623199,0,0.444444444,0.444444444,0.888888889,1.5,-0.493206959,0.572446556,0.852272202,0.780516078,0.346988606,0.363037445,0.004761663,0.008247443,0.879232395,0.430718393,0.134649954,0.053799201,-0.022790748,0.008455577,-0.22113628,15,49,0.455409767,0.677812224,-0.324209256
run_5816_VM_shortertimestep_6,26,3,0.7253136,0.8180851,0.3155505,0.214643,0.6505791,150.3693,dispersal,0.04658428,sine,0,0.3,0.4,0.2,0.1,0,0.35843846,0.260450455,0,0.12,0.24,0.48,1.331339867,0.318487085,-0.261401407,0.288329613,0.09997704,0.456238643,0.313692043,0.006479006,0.015751603,1.390021971,0.184319919,0.616455594,0.18323128,-0.02244922,0.009291066,0.569719792,57,149,1.419442783,0.359312239,0.693579661
run_5817_VM_shortertimestep_1,133,7,1.427295,0.645387,0.8308007,0.08149995,0.8697354,123.6556,allopatric,0.01772981,linear,1,0.181818182,0.727272727,0.659090909,0.568181818,0.25,0.705882178,0.386368118,0.181818182,0.41322314,0.479338843,0.52892562,2.256348423,-1.008199602,-0.019119294,0.40222438,-0.446329916,0.580546171,0.287418795,0.001460965,0.003296415,1.408510844,0.59488334,-0.476812777,0.423943735,-0.008334231,0.002117751,-0.334157375,609,1259,1.506503817,0.704471875,0.088875217
run_5817_VM_shortertimestep_2,98,8,1.312466,1.276788,1.058637,0.9382309,0.2662287,212.4428,sympatric,0.04046478,sine,1,0.133333333,0.833333333,0.733333333,0.666666667,0.433333333,0.784042484,0.239128319,0.231111111,0.355555556,0.391111111,0.444444444,3.586610188,-1.517099061,0,0.596889469,0.684804518,0.319149213,0.308497198,0.001467135,0.004543368,-0.441569298,0.841078518,-0.355536783,0.28505182,0.012937274,-0.00020393,-0.022575674,327,791,-1.421480349,0.844339718,-0.546115262
run_5817_VM_shortertimestep_3,82,7,0.3931362,1.399362,1.791525,0.4639572,0.8867424,164.7287,allopatric,0.007118599,linear,0,0.32,0.48,0.44,0.32,0.16,0.487110977,0.235908865,0.2048,0.4096,0.5632,0.6144,1.167003866,0.016888702,0,0.561704283,0.553431038,0.327763295,0.313419154,0.013502475,0.041510937,-0.220976453,0.504456589,-0.811816199,0.29963262,0.094047949,0.006120154,-1.070394114,396,766,0.855849259,0.499919826,-0.309948211
run_5817_VM_shortertimestep_6,96,7,1.600367,1.693138,1.313111,0.7134235,0.2755562,50.36318,allopatric,0.01708248,linear,1,0.264705882,0.558823529,0.529411765,0.382352941,0.235294118,0.567061676,0.290309103,0.249134948,0.404844291,0.560553633,0.591695502,1.299271745,-0.301807692,0,0.370618898,0.550402628,0.364154238,0.285124698,0.008203771,0.030712111,-0.002547643,0.567256605,-0.799042083,0.351446381,0.016397227,0.006949167,-0.465903823,533,963,0.615547383,0.587577451,-0.305331116
run_5818_VM_shortertimestep_1,28,9,1.864822,1.957967,1.329581,0.3308902,0.3072011,173.6587,sympatric,0.002978911,sine,1,0.272727273,0.727272727,0.636363636,0.454545455,0.272727273,0.657143529,0.157352183,0.297520661,0.495867769,0.694214876,0.79338843,1.916021641,-0.83431522,0,0.433846017,1.24964324,0.245175513,0.300379551,0.018925277,0.054055596,-2.262317609,0.913539525,-0.682245123,0.234673297,0.199397009,-0.00367305,-0.613905656,94,190,0.689536221,0.793568366,-0.655453171
run_5818_VM_shortertimestep_2,63,10,1.749992,0.8392617,0.5598567,0.6888406,0.828763,62.43362,parapatric,0.05521568,linear,1,0.35,0.35,0.25,0.15,0.1,0.340054233,0.275773094,0.14,0.21,0.35,0.49,1.736752758,0.625150212,-0.02881651,0.484894244,-0.300551811,0.519151565,0.311127699,0.005158381,0.012214804,0.263128709,0.311694805,1.681027826,0.094595651,-0.019529418,0.007263219,-0.600384828,267,541,-0.162914947,0.44917326,-0.0876376
run_5818_VM_shortertimestep_3,47,9,0.8306629,0.9618354,0.295184,0.2145669,0.324208,114.7256,sympatric,0.0218695,sine,0,0,1,0.823529412,0.705882353,0.294117647,0.892902819,0.32498951,0,0,0,0,3.150683295,-1.151361737,-0.005144817,0.266318227,-0.174763688,0.513374395,0.299978752,0,0,0.065972695,0.880066503,0.073021689,0.31078167,0,0,1.118526514,98,308,-1.643085719,0.91908694,-0.1614588
run_5818_VM_shortertimestep_6,61,10,1.16284,0.3805584,0.8143309,0.9628137,0.8380906,200.3723,sympatric,0.002331578,sine,1,0.05,0.85,0.8,0.7,0.45,0.847974899,0.258713673,0.09,0.14,0.16,0.17,6.127462277,-2.042403131,0.014642082,0.339505315,0.233563422,0.440610844,0.311552996,0.000357125,0.00159711,0.292694306,0.810675137,0.143834096,0.240384046,-0.001181057,0.000507634,0.861013527,131,419,-1.621725693,0.800022945,-0.276334582
run_5819_VM_shortertimestep_1,98,5,0.9897684,1.082914,0.3320202,0.8296706,0.682224,73.65257,dispersal,0.03248071,linear,0,0.3,0.466666667,0.3,0.233333333,0.166666667,0.450811214,0.188868289,0.2,0.28,0.36,0.56,1.405825458,0.170180601,-0.172916503,0.487920953,0.309926603,0.422955213,0.360756671,0.006039657,0.011977343,1.341945457,0.332512992,0.062267539,0.183379139,0.035083979,0.002946855,-0.26647125,285,785,-0.31458448,0.512385721,0.269926371
run_5819_VM_shortertimestep_2,133,5,0.874939,1.714315,1.557418,0.1900602,0.4537402,162.4397,mixed,0.02571388,sine,0,0.175,0.7,0.575,0.55,0.35,0.677599332,0.213197672,0.245,0.385,0.4025,0.49,1.925299493,-0.757077944,0.199479706,0.519934701,0.319092048,0.405964403,0.3339763,0.01056738,0.036944674,1.741967901,0.581339673,0.434985201,0.189160761,-0.089630076,0.015520262,-0.18641885,529,1193,0.099688025,0.63955132,-0.281319802
